Dt_name Cre_transcriptID	Cre_transcript_E_value	Cre_geneID	Cre_proteinID	Cre_protein_definition
Locus_12928_Transcript_1/1_Confidence_1.000_Length_1456	CHLREDRAFT395830	0.0	pasa_Sanger_mRNA15924	Cre16.g689050.t1.2	acyl-CoA oxidase 1
Locus_12929_Transcript_1/3_Confidence_0.154_Length_489	CHLREDRAFT392708	9e-41	pasa_Sanger_mRNA28985	Cre07.g318000.t1.1	non-intrinsic ABC protein 4
Locus_12931_Transcript_1/1_Confidence_1.000_Length_1281	CHLREDRAFT401667	7e-75	pasa_Sanger_mRNA26046	Cre06.g249950.t1.2	phosphatidyl inositol monophosphate 5 kinase
Locus_12933_Transcript_1/1_Confidence_1.000_Length_1187	CHLREDRAFT182345	5e-33	estExt_fgenesh2_kg.C_30104	Cre06.g259450.t1.1	NA
Locus_12938_Transcript_2/3_Confidence_0.625_Length_1145	CHLREDRAFT144644	4e-12	Chlre2_kg.scaffold_11000189	
Locus_12938_Transcript_3/3_Confidence_0.625_Length_690	CHLREDRAFT314139	3e-14	kg.chromosome_12_#_1238_#_XP_001702990.1	Cre12.g515350.t1.2	Regulator of chromosome condensation (RCC1) family protein
Locus_12943_Transcript_1/1_Confidence_1.000_Length_336	CHLREDRAFT148806	1e-23	Chlre2_kg.scaffold_24000205	Cre02.g124600.t1.1	RAP
Locus_12950_Transcript_1/1_Confidence_1.000_Length_1109	CHLREDRAFT408519	2e-38	pasa_Sanger_mRNA17100	Cre17.g696350.t1.1	NA
Locus_12951_Transcript_1/1_Confidence_1.000_Length_2564	CHLREDRAFT380762	0.0	estExt_fgenesh1_pm.C_chromosome_130227	Cre13.g580900.t1.2	Serine/threonine-protein kinase Rio1
Locus_12958_Transcript_1/1_Confidence_1.000_Length_1330	CHLREDRAFT395879	2e-39	pasa_Sanger_mRNA14210	Cre16.g664750.t1.1	ARM repeat superfamily protein
Locus_12959_Transcript_1/1_Confidence_1.000_Length_2659	CHLREDRAFT416091	0.0	pasa_Sanger_mRNA18325	Cre02.g080350.t1.2	ubiquitin-specific protease 14
Locus_12961_Transcript_1/1_Confidence_1.000_Length_1581	CHLREDRAFT126030	2e-117	estExt_gwp_1H.C_80012	Cre10.g429150.t1.1	tryptophan biosynthesis 1
Locus_12967_Transcript_2/2_Confidence_0.750_Length_1224	CHLREDRAFT184173	1e-33	estExt_fgenesh2_kg.C_220052	Cre17.g717300.t1.2	dual specificity protein phosphatase 1
Locus_12976_Transcript_1/1_Confidence_1.000_Length_1423	CHLREDRAFT413653	1e-10	pasa_Sanger_mRNA11088	Cre13.g569550.t1.2	Leucine-rich repeat transmembrane protein kinase
Locus_13002_Transcript_1/1_Confidence_1.000_Length_1519			Cre13.g578100.t1.2	Protein of unknown function (DUF3414)
Locus_13008_Transcript_1/1_Confidence_0.667_Length_505	CHLREDRAFT195781	2e-44	BIS_CDKI	Cre12.g494500.t1.1	CDK-activating kinase 4
Locus_13028_Transcript_1/1_Confidence_1.000_Length_864	CHLREDRAFT421728	1e-132	pasa_Sanger_mRNA4571	Cre10.g420900.t1.1	DEA(D/H)-box RNA helicase family protein
Locus_13031_Transcript_1/1_Confidence_1.000_Length_1023	CHLREDRAFT185598	7e-94	estExt_fgenesh2_kg.C_570013	Cre15.g636050.t1.1	thylakoid lumen 15.0 kDa protein
Locus_13032_Transcript_1/1_Confidence_1.000_Length_1048	CHLREDRAFT147220	1e-30	Chlre2_kg.scaffold_18000145	Cre12.g531650.t1.1	NA
Locus_13034_Transcript_1/1_Confidence_1.000_Length_1708	CHLREDRAFT192205	0.0	estExt_fgenesh2_pg.C_290033	Cre08.g362650.t1.2	Transducin/WD40 repeat-like superfamily protein
Locus_13039_Transcript_2/2_Confidence_0.667_Length_1513	CHLREDRAFT195818	0.0	RWI_chlre3.7.129.1.1	Cre02.g073700.t1.1	Uroporphyrinogen decarboxylase
Locus_13044_Transcript_1/1_Confidence_1.000_Length_826	CHLREDRAFT416083	4e-31	pasa_Sanger_mRNA18431	Cre02.g085050.t1.1	Transducin/WD40 repeat-like superfamily protein
Locus_13045_Transcript_1/1_Confidence_1.000_Length_1790	CHLREDRAFT410826	6e-48	pasa_Sanger_mRNA25360	Cre05.g238150.t1.1	Kelch repeat-containing F-box family protein
Locus_13050_Transcript_1/1_Confidence_1.000_Length_492	CHLREDRAFT193128	5e-24	estExt_fgenesh2_pg.C_390020	Cre16.g654450.t1.1	NA
Locus_13075_Transcript_2/2_Confidence_0.667_Length_451	CHLREDRAFT195849	1e-09	PIE_estExt_gwp_1H.C_10354	Cre01.g026450.t1.1	RNA-binding (RRM/RBD/RNP motifs) family protein
Locus_13077_Transcript_1/2_Confidence_0.800_Length_1287	CHLREDRAFT291815	4e-65	au.g9742_t1	Cre02.g147000.t1.2	NA
Locus_13085_Transcript_1/1_Confidence_1.000_Length_1165	CHLREDRAFT331924	3e-49	pg.chromosome_15_#_42	Cre15.g636900.t1.2	FMN-linked oxidoreductases superfamily protein
Locus_13088_Transcript_1/1_Confidence_1.000_Length_1992	CHLREDRAFT196785	3e-91	OVA_Chlre2_kg.scaffold_10000193	Cre07.g332786.t1.1	SIGNAL PEPTIDE PEPTIDASE-LIKE 2
Locus_13091_Transcript_1/1_Confidence_1.000_Length_1263			Cre06.g297400.t1.2	Oxidoreductase, zinc-binding dehydrogenase family protein
Locus_13092_Transcript_1/1_Confidence_1.000_Length_815	CHLREDRAFT296328	1e-41	au.g13982_t1	Cre07.g327200.t1.2	NA
Locus_13094_Transcript_1/1_Confidence_1.000_Length_1392	CHLREDRAFT407651	5e-86	pasa_Sanger_mRNA1313	Cre01.g057950.t1.1	LisH/CRA/RING-U-box domains-containing protein
Locus_13096_Transcript_1/1_Confidence_1.000_Length_997	CHLREDRAFT285319	1e-46	au.g3680_t1	Cre12.g530800.t1.2	NA
Locus_13097_Transcript_1/1_Confidence_1.000_Length_1387	CHLREDRAFT163128	6e-19	fgenesh2_kg.C_scaffold_20000056	Cre12.g547850.t1.1	NA
Locus_13105_Transcript_1/1_Confidence_1.000_Length_1303	CHLREDRAFT152087	2e-30	Chlre2_kg.scaffold_43000051	Cre14.g613450.t1.1	NA
Locus_13112_Transcript_1/1_Confidence_1.000_Length_724	CHLREDRAFT415300	1e-70	pasa_Sanger_mRNA18789	Cre02.g101250.t1.1	F-box family protein
Locus_13120_Transcript_1/1_Confidence_1.000_Length_1902			Cre10.g439750.t1.1	RNI-like superfamily protein
Locus_13121_Transcript_2/2_Confidence_0.750_Length_1753	CHLREDRAFT195571	1e-96	OVA_e_gwW.24.27.1	Cre02.g122650.t1.1	violaxanthin de-epoxidase-related
Locus_13128_Transcript_1/1_Confidence_1.000_Length_910	CHLREDRAFT377329	1e-149	estExt_fgenesh1_pm.C_chromosome_20648	Cre02.g130200.t1.1	guanylate kinase
Locus_13133_Transcript_1/1_Confidence_1.000_Length_1713	CHLREDRAFT99951	2e-89	e_gwH.11.375.1	Cre12.g506600.t1.1	phosphatidic acid phosphohydrolase 2
Locus_13137_Transcript_1/1_Confidence_1.000_Length_1449	CHLREDRAFT131477	6e-125	estExt_gwp_1H.C_360031	Cre05.g237000.t1.1	methionine aminopeptidase 1D
Locus_13153_Transcript_1/2_Confidence_0.833_Length_1752	CHLREDRAFT97141	5e-56	e_gwH.7.242.1	Cre02.g082850.t1.1	Seryl-tRNA synthetase
Locus_13155_Transcript_1/1_Confidence_1.000_Length_1161	CHLREDRAFT416305	3e-10	pasa_Sanger_mRNA19657	
Locus_13161_Transcript_1/1_Confidence_1.000_Length_684	CHLREDRAFT195441	9e-59	SAN_estExt_fgenesh2_pg.C_870013	Cre12.g561200.t1.1	SNARE-like superfamily protein
Locus_13164_Transcript_1/1_Confidence_1.000_Length_727			Cre17.g703050.t1.1	NA
Locus_13167_Transcript_3/3_Confidence_0.571_Length_685	CHLREDRAFT179193	1e-10	fgenesh2_pg.C_scaffold_61000013	Cre15.g640400.t1.2	NA
Locus_13174_Transcript_1/1_Confidence_1.000_Length_1297	CHLREDRAFT379952	5e-85	estExt_fgenesh1_pm.C_chromosome_120055	Cre12.g487450.t1.1	NA
Locus_13178_Transcript_1/2_Confidence_0.667_Length_1458	CHLREDRAFT342133	3e-152	estExt_fgenesh1_pg.C_chromosome_10227	Cre01.g017500.t1.1	sequence-specific DNA binding transcription factors
Locus_13187_Transcript_1/1_Confidence_1.000_Length_973	CHLREDRAFT137210	3e-51	estExt_gwp_1W.C_170087	Cre14.g625500.t1.2	ankyrin repeat family protein
Locus_13192_Transcript_1/1_Confidence_1.000_Length_803	CHLREDRAFT149921	4e-24	Chlre2_kg.scaffold_27000190	Cre15.g642250.t1.1	NA
Locus_13196_Transcript_1/1_Confidence_1.000_Length_1032	CHLREDRAFT420943	1e-24	pasa_Sanger_mRNA4450	Cre10.g466550.t1.1	BSD domain (BTF2-like transcription factors, Synapse-associated proteins and DOS2-like proteins)
Locus_13198_Transcript_1/1_Confidence_1.000_Length_430	CHLREDRAFT206600	4e-46	GLW_Chlre2_kg.scaffold_11000303	Cre12.g489150.t1.1	NA
Locus_13199_Transcript_1/1_Confidence_1.000_Length_596	CHLREDRAFT192018	2e-61	estExt_fgenesh2_pg.C_270172	Cre01.g058050.t1.1	myb-like transcription factor family protein
Locus_13200_Transcript_1/1_Confidence_1.000_Length_805	CHLREDRAFT195613	2e-34	STE_estExt_fgenesh2_pg.C_60129	Cre05.g248500.t1.1	thioredoxin 2
Locus_13209_Transcript_1/1_Confidence_1.000_Length_841	CHLREDRAFT195530	7e-87	SAN_estExt_fgenesh2_pg.C_470040	Cre19.g753650.t1.1	GTP-binding protein 1
Locus_13217_Transcript_1/1_Confidence_1.000_Length_729	CHLREDRAFT142416	3e-10	Chlre2_kg.scaffold_3000389	
Locus_13218_Transcript_1/1_Confidence_1.000_Length_1103	CHLREDRAFT347786	4e-23	estExt_fgenesh1_pg.C_chromosome_170296	
Locus_13221_Transcript_1/1_Confidence_1.000_Length_439	CHLREDRAFT292445	2e-10	au.g10335_t1	Cre03.g159000.t1.2	NA
Locus_13222_Transcript_1/1_Confidence_1.000_Length_1075	CHLREDRAFT397847	5e-66	pasa_Sanger_mRNA14329	Cre16.g669950.t1.1	NA
Locus_13223_Transcript_1/1_Confidence_1.000_Length_563	CHLREDRAFT8258	4e-76	fgenesh1_pg.C_scaffold_6000225	Cre07.g315400.t1.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_13230_Transcript_1/1_Confidence_1.000_Length_1070	CHLREDRAFT292142	7e-93	au.g10054_t1	Cre28.g776150.t1.2	Endoplasmic reticulum vesicle transporter protein
Locus_13232_Transcript_1/1_Confidence_1.000_Length_804	CHLREDRAFT206143	5e-38	OVA_chlre3.12.140.1.5	Cre03.g148900.t1.2	flavin-dependent monooxygenase 1
Locus_13234_Transcript_1/1_Confidence_1.000_Length_267	CHLREDRAFT193499	1e-22	estExt_fgenesh2_pg.C_440020	Cre13.g603850.t1.1	NA
Locus_13235_Transcript_1/1_Confidence_1.000_Length_422			Cre06.g255250.t1.2	NA
Locus_13236_Transcript_1/1_Confidence_1.000_Length_790	CHLREDRAFT134186	1e-42	estExt_gwp_1W.C_30096	Cre06.g254650.t1.1	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
Locus_13249_Transcript_1/1_Confidence_1.000_Length_334	CHLREDRAFT423193	9e-08	pasa_Sanger_mRNA25164	Cre04.g229100.t1.1	Inositol-pentakisphosphate 2-kinase family protein
Locus_13253_Transcript_1/1_Confidence_1.000_Length_1546	CHLREDRAFT195411	4e-18	SAN_167479	Cre17.g711450.t1.2	syntaxin of plants 81
Locus_13254_Transcript_1/1_Confidence_1.000_Length_588	CHLREDRAFT382151	3e-19	estExt_fgenesh1_pm.C_750002	Cre75.g795500.t1.1	cyclin H;1
Locus_13255_Transcript_1/1_Confidence_1.000_Length_760	CHLREDRAFT107111	9e-53	e_gwH.54.106.1	Cre01.g069250.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_13281_Transcript_1/2_Confidence_0.583_Length_1006	CHLREDRAFT114106	2e-12	e_gwW.9.34.1	Cre03.g180450.t1.1	NA
Locus_13284_Transcript_1/2_Confidence_0.955_Length_1252	CHLREDRAFT157234	0.0	acegs_kg.scaffold_1000099	Cre01.g022650.t1.1	beta-ureidopropionase
Locus_13289_Transcript_3/4_Confidence_0.455_Length_1219	CHLREDRAFT190827	3e-88	estExt_fgenesh2_pg.C_200137	Cre12.g547100.t1.2	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Locus_13291_Transcript_1/1_Confidence_1.000_Length_421	CHLREDRAFT118927	8e-38	e_gwW.26.186.1	Cre06.g291400.t1.2	NA
Locus_13297_Transcript_1/1_Confidence_1.000_Length_495	CHLREDRAFT184151	8e-34	estExt_fgenesh2_kg.C_220030	Cre09.g392350.t1.1	glycine-rich RNA-binding protein 2
Locus_13307_Transcript_1/1_Confidence_1.000_Length_390	CHLREDRAFT296988	2e-33	au.g14607_t1	Cre73.g795100.t1.1	DNA polymerase epsilon catalytic subunit
Locus_13310_Transcript_1/1_Confidence_1.000_Length_2233	CHLREDRAFT78072	0.0	estExt_GenewiseW_1.C_110114	Cre12.g509000.t1.2	MAP kinase 4
Locus_13311_Transcript_1/1_Confidence_1.000_Length_401	CHLREDRAFT187751	3e-18	estExt_fgenesh2_pg.C_40268	Cre10.g460500.t1.1	anaphase-promoting complex/cyclosome 2
Locus_13320_Transcript_1/1_Confidence_1.000_Length_185	CHLREDRAFT171608	4e-12	fgenesh2_pg.C_scaffold_1000229	Cre01.g022350.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_13324_Transcript_1/1_Confidence_1.000_Length_391	CHLREDRAFT111578	3e-33	e_gwW.7.112.1	Cre02.g090500.t1.2	RNAhelicase-like 8
Locus_13326_Transcript_2/2_Confidence_0.182_Length_618	CHLREDRAFT284256	7e-34	au.g2695_t1	Cre11.g480850.t1.2	Nucleotide-diphospho-sugar transferase family protein
Locus_13329_Transcript_1/1_Confidence_1.000_Length_936	CHLREDRAFT138157	2e-33	estExt_gwp_1W.C_250080	Cre09.g403300.t1.1	transcription factor-related
Locus_13330_Transcript_1/1_Confidence_1.000_Length_622	CHLREDRAFT34875	7e-50	estExt_fgenesh1_pg.C_340051	Cre03.g159200.t1.2	ubiquitin-protein ligase 7
Locus_13336_Transcript_1/1_Confidence_1.000_Length_1457	CHLREDRAFT137457	8e-108	estExt_gwp_1W.C_220139	Cre09.g388000.t1.1	cyclin-dependent kinase D1;1
Locus_13340_Transcript_1/1_Confidence_1.000_Length_666	CHLREDRAFT205865	2e-20	PIE_161479	Cre10.g423750.t1.1	coenzyme Q 3
Locus_13345_Transcript_1/1_Confidence_1.000_Length_759	CHLREDRAFT146448	4e-63	Chlre2_kg.scaffold_1000272	Cre01.g025450.t1.1	NA
Locus_13346_Transcript_1/1_Confidence_1.000_Length_506	CHLREDRAFT120088	2e-77	e_gwW.31.190.1	Cre12.g520150.t1.2	RNA helicase family protein
Locus_13349_Transcript_1/1_Confidence_1.000_Length_987	CHLREDRAFT131333	3e-57	estExt_gwp_1H.C_310077	Cre12.g527800.t1.1	Dynein light chain type 1 family protein
Locus_13351_Transcript_1/1_Confidence_1.000_Length_1089	CHLREDRAFT148802	2e-22	Chlre2_kg.scaffold_24000201	
Locus_13360_Transcript_6/6_Confidence_0.500_Length_1794	CHLREDRAFT307767	3e-15	kg.chromosome_6_#_2038_#_chlre3.26.97.1.1	Cre06.g291300.t1.1	NA
Locus_13363_Transcript_1/1_Confidence_1.000_Length_743	CHLREDRAFT415988	7e-52	pasa_Sanger_mRNA18820	Cre02.g102850.t1.2	NA
Locus_13371_Transcript_1/1_Confidence_1.000_Length_1724			Cre09.g395300.t1.1	NA
Locus_13385_Transcript_1/1_Confidence_1.000_Length_2659	CHLREDRAFT423436	3e-80	pasa_Sanger_mRNA6453	Cre12.g485750.t1.1	Protein of unknown function (DUF167)
Locus_13393_Transcript_1/2_Confidence_0.833_Length_805	CHLREDRAFT393537	4e-46	pasa_Sanger_mRNA30246	Cre07.g327800.t1.2	ABC-2 type transporter family protein
Locus_13396_Transcript_1/1_Confidence_1.000_Length_892	CHLREDRAFT177137	3e-28	fgenesh2_pg.C_scaffold_39000087	Cre16.g650800.t1.2	translocase of the inner mitochondrial membrane 13
Locus_13399_Transcript_1/1_Confidence_1.000_Length_2425	CHLREDRAFT196567	0.0	MHS_fgenesh2_kg.C_scaffold_40000016	Cre04.g214500.t1.2	isocitrate dehydrogenase
Locus_13400_Transcript_2/3_Confidence_0.667_Length_1658			Cre12.g541750.t1.2	FAD/NAD(P)-binding oxidoreductase family protein
Locus_13409_Transcript_1/1_Confidence_1.000_Length_759	CHLREDRAFT301629	9e-51	kg.chromosome_2_#_1068_#_TC41463	Cre02.g104100.t1.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Locus_13410_Transcript_1/1_Confidence_1.000_Length_1859	CHLREDRAFT282656	4e-09	au.g1192_t1	Cre01.g010950.t1.2	XB3 ortholog 1 in Arabidopsis thaliana
Locus_13411_Transcript_1/1_Confidence_1.000_Length_1000	CHLREDRAFT185677	3e-11	estExt_fgenesh2_kg.C_640010	Cre08.g372350.t1.2	NA
Locus_13418_Transcript_1/1_Confidence_1.000_Length_589	CHLREDRAFT296927	4e-30	au.g14546_t1	Cre07.g355750.t1.1	F-box protein 2
Locus_13422_Transcript_1/1_Confidence_1.000_Length_1245	CHLREDRAFT101874	7e-37	e_gwH.1.780.1	Cre01.g042850.t1.1	membrane-associated progesterone binding protein 3
Locus_13424_Transcript_1/3_Confidence_0.562_Length_988	CHLREDRAFT205659	8e-19	SKA_chlre3.53.17.2.11	Cre01.g000800.t1.1	NA
Locus_13432_Transcript_1/1_Confidence_1.000_Length_770	CHLREDRAFT159842	9e-78	acegs_kg.scaffold_62000009	Cre11.g473300.t1.2	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
Locus_13437_Transcript_1/1_Confidence_1.000_Length_778	CHLREDRAFT154290	2e-73	Chlre2_kg.scaffold_79000048	Cre02.g117950.t1.1	NA
Locus_13444_Transcript_1/1_Confidence_1.000_Length_1467	CHLREDRAFT399361	7e-46	pasa_Sanger_mRNA33065	Cre09.g389750.t1.2	zinc finger (C2H2 type, AN1-like) family protein
Locus_13452_Transcript_1/1_Confidence_1.000_Length_1794	CHLREDRAFT123446	3e-84	e_gwW.87.15.1	Cre12.g560600.t1.2	NAD kinase 1
Locus_13470_Transcript_1/1_Confidence_1.000_Length_524	CHLREDRAFT424544	2e-18	pasa_Sanger_mRNA9250	Cre12.g533250.t1.2	ubiquitin-specific protease 1
Locus_13475_Transcript_1/1_Confidence_1.000_Length_776			Cre10.g420400.t1.2	ARM repeat superfamily protein
Locus_13476_Transcript_1/1_Confidence_1.000_Length_735	CHLREDRAFT410346	3e-36	pasa_Sanger_mRNA17427	Cre17.g712450.t1.2	Domain of unknown function (DUF1767)
Locus_13481_Transcript_1/1_Confidence_1.000_Length_1322	CHLREDRAFT151346	2e-48	Chlre2_kg.scaffold_38000084	Cre13.g596750.t1.1	NA
Locus_13488_Transcript_1/3_Confidence_0.500_Length_1297	CHLREDRAFT168563	5e-67	fgenesh2_pg.C_scaffold_2000209	Cre13.g573000.t1.1	SET domain-containing protein
Locus_13502_Transcript_1/2_Confidence_0.667_Length_291	CHLREDRAFT183096	2e-16	estExt_fgenesh2_kg.C_110117	
Locus_13506_Transcript_1/1_Confidence_1.000_Length_865	CHLREDRAFT119814	6e-25	e_gwW.32.154.1	Cre17.g720200.t1.1	NA
Locus_13509_Transcript_1/1_Confidence_1.000_Length_595	CHLREDRAFT150530	6e-40	Chlre2_kg.scaffold_32000083	Cre17.g724200.t1.1	RNA recognition motif (RRM)-containing protein
Locus_13511_Transcript_1/1_Confidence_1.000_Length_477	CHLREDRAFT390230	2e-65	pasa_Sanger_mRNA30950	Cre08.g359900.t1.2	ataurora3
Locus_13512_Transcript_1/2_Confidence_0.667_Length_367	CHLREDRAFT404865	3e-29	pasa_Sanger_mRNA466	Cre01.g018900.t1.1	NDR1/HIN1-like 8
Locus_13516_Transcript_5/5_Confidence_0.600_Length_1437	CHLREDRAFT184434	3e-66	estExt_fgenesh2_kg.C_280076	Cre16.g680700.t1.1	Aluminium induced protein with YGL and LRDR motifs
Locus_13519_Transcript_1/3_Confidence_0.600_Length_1262	CHLREDRAFT290057	2e-22	au.g8117_t1	Cre19.g753400.t1.2	NA
Locus_13519_Transcript_2/3_Confidence_0.400_Length_887	CHLREDRAFT397643	3e-14	pasa_Sanger_mRNA14874	Cre16.g692150.t1.2	NA
Locus_13522_Transcript_1/1_Confidence_1.000_Length_453			Cre02.g084900.t1.1	Tetratricopeptide repeat (TPR)-like superfamily protein
Locus_13524_Transcript_1/1_Confidence_1.000_Length_277	CHLREDRAFT297368	5e-26	au.g14967_t1	Cre08.g375200.t1.1	MIRO-related GTP-ase 1
Locus_13529_Transcript_1/1_Confidence_1.000_Length_1794	CHLREDRAFT144600	1e-47	Chlre2_kg.scaffold_11000145	Cre12.g508250.t1.2	Ubiquitin carboxyl-terminal hydrolase-related protein
Locus_13531_Transcript_1/1_Confidence_1.000_Length_1117	CHLREDRAFT142912	1e-81	Chlre2_kg.scaffold_4000035	Cre10.g447500.t1.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_13532_Transcript_1/2_Confidence_0.667_Length_1279	CHLREDRAFT408879	6e-07	pasa_Sanger_mRNA16315	Cre17.g707400.t1.1	RNA-binding KH domain-containing protein
Locus_13536_Transcript_1/1_Confidence_1.000_Length_964	CHLREDRAFT412189	6e-35	pasa_Sanger_mRNA10293	Cre13.g580350.t1.1	NA
Locus_13541_Transcript_1/1_Confidence_1.000_Length_1178	CHLREDRAFT407289	4e-24	pasa_Sanger_mRNA2074	Cre18.g745100.t1.2	XB3 ortholog 1 in Arabidopsis thaliana
Locus_13545_Transcript_1/1_Confidence_1.000_Length_1074	CHLREDRAFT191167	6e-53	estExt_fgenesh2_pg.C_210158	Cre08.g376450.t1.1	NA
Locus_13550_Transcript_1/2_Confidence_0.667_Length_1018	CHLREDRAFT205715	1e-14	OVA_Chlre2_kg.scaffold_2000051	
Locus_13556_Transcript_1/1_Confidence_1.000_Length_739	CHLREDRAFT195568	4e-82	SAN_estExt_gwp_1W.C_130124	Cre17.g706650.t1.1	EAP30/Vps36 family protein
Locus_13558_Transcript_1/1_Confidence_1.000_Length_1575	CHLREDRAFT147180	2e-29	Chlre2_kg.scaffold_18000105	Cre16.g677050.t1.2	NA
Locus_13563_Transcript_1/1_Confidence_1.000_Length_704			Cre17.g698800.t1.1	Pex2/Pex12 N-terminal domain-containing protein / zinc finger (C3HC4-type RING finger) family protein
Locus_13564_Transcript_1/1_Confidence_1.000_Length_421	CHLREDRAFT30719	1e-54	estExt_fgenesh1_pg.C_90110	Cre03.g174750.t1.1	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Locus_13566_Transcript_1/2_Confidence_0.400_Length_578	CHLREDRAFT335955	8e-78	pm.chromosome_3_#_216	Cre03.g168150.t1.1	VH1-interacting kinase
Locus_13569_Transcript_1/1_Confidence_1.000_Length_1556	CHLREDRAFT12075	8e-33	fgenesh1_pg.C_scaffold_16000195	Cre07.g348900.t1.1	DNAJ heat shock N-terminal domain-containing protein
Locus_13578_Transcript_1/1_Confidence_1.000_Length_764	CHLREDRAFT173710	3e-26	fgenesh2_pg.C_scaffold_21000005	Cre08.g385700.t1.1	gamma-soluble NSF attachment protein
Locus_13583_Transcript_1/1_Confidence_1.000_Length_2381	CHLREDRAFT322914	5e-109	kg.41_#_27_#_TC45578	Cre41.g786900.t1.1	lycopene cyclase
Locus_13584_Transcript_1/1_Confidence_1.000_Length_1102	CHLREDRAFT196707	1e-66	OVA_1_AIM_query	Cre06.g306350.t1.1	2Fe-2S ferredoxin-like superfamily protein
Locus_13589_Transcript_1/1_Confidence_1.000_Length_1730	CHLREDRAFT186410	4e-82	estExt_fgenesh2_pg.C_70010	Cre02.g073550.t1.1	nucleosome assembly protein1;1
Locus_13590_Transcript_1/1_Confidence_1.000_Length_1082	CHLREDRAFT206448	3e-41	OVA_estExt_fgenesh2_kg.C_280020	Cre16.g671800.t1.1	NA
Locus_13593_Transcript_1/1_Confidence_1.000_Length_1138	CHLREDRAFT194556	2e-32	estExt_fgenesh2_pg.C_690038	Cre06.g293700.t1.1	Ribosomal protein L12 family protein
Locus_13614_Transcript_1/1_Confidence_1.000_Length_977	CHLREDRAFT286361	2e-41	au.g4663_t1	Cre13.g579900.t1.1	DegP protease 9
Locus_13620_Transcript_1/1_Confidence_1.000_Length_649	CHLREDRAFT154129	2e-20	Chlre2_kg.scaffold_74000011	Cre05.g234050.t1.1	NA
Locus_13628_Transcript_1/1_Confidence_1.000_Length_508	CHLREDRAFT205944	1e-53	OVA_estExt_fgenesh2_kg.C_320007	Cre17.g720350.t1.1	homologue of bacterial MinE 1
Locus_13634_Transcript_3/3_Confidence_0.778_Length_2268	CHLREDRAFT183446	0.0	estExt_fgenesh2_kg.C_160011	Cre07.g339750.t1.1	ferrochelatase 2
Locus_13642_Transcript_1/1_Confidence_1.000_Length_1386	CHLREDRAFT413694	8e-114	pasa_Sanger_mRNA10509	Cre13.g589250.t1.1	Protein of unknown function (DUF155)
Locus_13645_Transcript_1/1_Confidence_1.000_Length_938	CHLREDRAFT132038	7e-137	estExt_gwp_1H.C_470002	Cre19.g755700.t1.1	Protein kinase superfamily protein
Locus_13650_Transcript_1/1_Confidence_1.000_Length_1359	CHLREDRAFT284562	1e-75	au.g2973_t1	Cre12.g495000.t1.2	NA
Locus_13655_Transcript_2/2_Confidence_0.875_Length_937	CHLREDRAFT409257	4e-123	pasa_Sanger_mRNA17220	Cre17.g701300.t1.1	binding
Locus_13663_Transcript_1/1_Confidence_1.000_Length_504	CHLREDRAFT304481	1e-65	kg.chromosome_3_#_1411_#_XP_001693137.1	Cre03.g196850.t1.1	transducin family protein / WD-40 repeat family protein
Locus_13665_Transcript_2/2_Confidence_0.750_Length_897	CHLREDRAFT419568	5e-72	pasa_Sanger_mRNA22222	Cre03.g177050.t1.1	cullin-associated and neddylation dissociated
Locus_13669_Transcript_1/1_Confidence_1.000_Length_1462	CHLREDRAFT192696	3e-70	estExt_fgenesh2_pg.C_310224	Cre12.g518050.t1.1	NA
Locus_13672_Transcript_1/1_Confidence_1.000_Length_404	CHLREDRAFT290570	2e-37	au.g8585_t1	Cre02.g089150.t1.2	homolog of yeast ADA2 2A
Locus_13675_Transcript_1/1_Confidence_1.000_Length_492	CHLREDRAFT286378	2e-27	au.g4678_t1	Cre13.g580700.t1.2	allantoate amidohydrolase
Locus_13676_Transcript_2/7_Confidence_0.250_Length_1099	CHLREDRAFT154188	4e-09	Chlre2_kg.scaffold_77000006	Cre08.g358650.t1.2	CAAX amino terminal protease family protein
Locus_13680_Transcript_1/1_Confidence_1.000_Length_761	CHLREDRAFT24475	2e-84	estExt_fgenesh1_pm.C_670004	Cre16.g664500.t1.1	ADP-ribosylation factor A1B
Locus_13683_Transcript_1/1_Confidence_1.000_Length_870	CHLREDRAFT113417	7e-73	e_gwW.4.266.1	Cre10.g457150.t1.1	NA
Locus_13691_Transcript_1/1_Confidence_1.000_Length_600	CHLREDRAFT288328	5e-21	au.g6512_t1	Cre16.g673000.t1.1	aluminum sensitive 3
Locus_13696_Transcript_1/1_Confidence_1.000_Length_892			Cre01.g044550.t1.1	NA
Locus_13709_Transcript_1/2_Confidence_0.667_Length_1367	CHLREDRAFT133548	3e-106	estExt_gwp_1W.C_80143	Cre10.g427050.t1.1	IND1(iron-sulfur protein required for NADH dehydrogenase)-like
